City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
529,Santa Marta,CO,84.25,broken clouds,11.2408,-74.199,Hotel La Ballena Azul
531,Suluq,LY,79.48,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
532,Matara,LK,76.93,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
538,Gizo,SB,81.64,moderate rain,-8.103,156.8419,Imagination Island
543,Bridgend,GB,74.95,clear sky,51.5058,-3.5772,Best Western Heronston Hotel & Spa
544,La Ronge,CA,84.42,scattered clouds,55.1001,-105.2842,Northland Motor Hotel
546,Roquetas De Mar,ES,83.61,scattered clouds,36.7642,-2.6148,Mediterráneo Bay Hotel and Resort
549,Mutis,CO,79.88,light rain,6.2262,-77.4044,Paraiso Escondido
551,Bintulu,MY,79.21,scattered clouds,3.1667,113.0333,900 Boutique INN
552,Sakhon Nakhon,TH,74.53,light rain,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
553,Alyangula,AU,70.65,few clouds,-13.8483,136.4192,Groote Eylandt Lodge
555,Oranjestad,AW,87.75,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
557,Cururupu,BR,76.39,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
558,Naliya,IN,81.73,overcast clouds,23.2667,68.8333,jadeja jayendrasinh
559,Mozarlandia,BR,76.44,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
561,Jangipur,IN,78.48,scattered clouds,24.4667,88.0667,KICHUKKHON LODGE
565,Agbor,NG,72.48,overcast clouds,6.2518,6.1934,MIRAMAS HOTEL
566,Lodwar,KE,80.62,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
569,Can Tho,VN,71.58,scattered clouds,10.0333,105.7833,Kim Lan Hotel Can Tho
570,Rosario Oeste,BR,71.67,clear sky,-14.8361,-56.4275,Alvorada Palace accomodation
572,Darab,IR,88.25,clear sky,28.7519,54.5444,Naghshe shapoor Hotel
573,Frascati,IT,79.2,clear sky,41.8163,12.6687,Park Hotel Villa Grazioli
574,Kpandu,GH,75.96,overcast clouds,6.9954,0.2931,Emo House
575,Haikou,CN,78.93,scattered clouds,20.0458,110.3417,Sun City Restaurant
576,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
582,Maceio,BR,76.44,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
583,La Peca,PE,77.13,light rain,-5.6111,-78.435,Hospedaje San Miguelito
589,Endwell,US,81.59,clear sky,42.1129,-76.021,"Holiday Inn Express & Suites Binghamton University-Vestal, an IHG Hotel"
591,Villa Guerrero,MX,75.27,overcast clouds,18.8667,-99.65,Ixtapan de la Sal Marriott Hotel & Spa
592,Muroto,JP,81.7,overcast clouds,33.2833,134.15,Oota Ryokan
593,Half Moon Bay,US,82.42,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
597,Itarema,BR,77.65,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
