City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Coihaique,CL,2022-08-09 19:18:18,-45.5752,-72.0662,49.95,62,75,4.61
201,Santa Pola,ES,2022-08-09 19:21:12,38.1917,-0.5658,85.66,79,20,5.75
202,Carnarvon,AU,2022-08-09 19:21:12,-24.8667,113.6333,58.53,59,63,15.32
203,Saryg-Sep,RU,2022-08-09 19:21:13,51.5,95.6,55.45,87,40,2.75
204,Faanui,PF,2022-08-09 19:21:13,-16.4833,-151.75,75.22,74,55,6.55
205,Dawlatabad,AF,2022-08-09 19:21:14,36.4141,64.9053,82.83,20,0,4.65
206,Ixtapa,MX,2022-08-09 19:21:14,20.7,-105.2,86.23,66,100,4.61
207,Arraial Do Cabo,BR,2022-08-09 19:21:15,-22.9661,-42.0278,73.36,83,75,8.05
208,Yerkoy,TR,2022-08-09 19:21:15,39.6381,34.4672,75.18,33,0,3.89
209,Muriwai Beach,NZ,2022-08-09 19:21:16,-36.8167,174.45,50.43,97,89,6.02
210,Kishi,NG,2022-08-09 19:21:17,9.0833,3.85,74.25,83,55,4.74
211,Aklavik,CA,2022-08-09 19:21:17,68.2191,-135.0107,62.91,49,100,10.76
212,Kaeo,NZ,2022-08-09 19:21:18,-35.1,173.7833,49.68,87,36,3.96
213,Lavrentiya,RU,2022-08-09 19:21:18,65.5833,-171.0,45.72,68,100,11.5
214,Marsala,IT,2022-08-09 19:21:19,37.7966,12.4352,84.15,79,40,3.44
215,Seguin,US,2022-08-09 19:20:59,29.5688,-97.9647,99.84,45,20,3.44
216,Chik,RU,2022-08-09 19:21:21,54.9928,82.4311,60.55,87,0,4.47
217,Gat,IL,2022-08-09 19:21:21,31.61,34.7642,81.81,100,0,4.79
218,Ucluelet,CA,2022-08-09 19:21:22,48.9329,-125.5528,61.09,87,1,1.01
219,Saskylakh,RU,2022-08-09 19:21:23,71.9167,114.0833,50.34,87,89,7.02
220,Tasiilaq,GL,2022-08-09 19:21:23,65.6145,-37.6368,42.96,91,71,6.69
221,Sibu,MY,2022-08-09 19:21:24,2.3,111.8167,79.11,89,40,0.0
222,Angoche,MZ,2022-08-09 19:21:24,-16.2325,39.9086,74.25,70,0,10.63
223,Tostedt,DE,2022-08-09 19:21:25,53.2833,9.7167,71.82,68,31,6.71
224,Abu Dhabi,AE,2022-08-09 19:17:44,24.4667,54.3667,95.11,69,0,1.14
225,Bubaque,GW,2022-08-09 19:18:14,11.2833,-15.8333,80.89,81,95,14.0
226,Dhar,IN,2022-08-09 19:21:26,22.6,75.3,74.08,96,100,9.24
227,Port Lincoln,AU,2022-08-09 19:21:26,-34.7333,135.8667,51.89,83,100,22.46
228,Burgeo,CA,2022-08-09 19:21:27,47.6167,-57.6152,58.26,93,100,26.31
229,Mareeba,AU,2022-08-09 19:21:27,-17.0,145.4333,56.12,97,4,1.99
230,Moose Factory,CA,2022-08-09 19:21:28,51.2585,-80.6094,77.0,44,0,20.71
