City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
150,Huangchuan,CN,32.1272,115.0394,81.82,68,85,6.98,overcast clouds
151,Cape Town,ZA,-33.9258,18.4232,59.38,77,75,17.27,broken clouds
152,Lincoln,US,40.8,-96.667,98.15,45,0,12.66,clear sky
153,Hamilton,US,39.1834,-84.5333,84.76,62,0,4.61,clear sky
154,Iralaya,HN,15.0,-83.2333,82.15,81,29,11.41,scattered clouds
155,Nishihara,JP,26.1842,127.7558,83.48,85,75,2.3,broken clouds
156,Prado,BR,-17.3411,-39.2208,73.29,76,98,10.36,overcast clouds
157,Salinopolis,BR,-0.6136,-47.3561,79.47,82,71,11.5,broken clouds
158,Taltal,CL,-25.4,-70.4833,58.6,75,92,4.83,overcast clouds
159,Concarneau,FR,47.875,-3.9225,77.83,46,0,11.23,clear sky
160,Traverse City,US,44.7631,-85.6206,73.83,47,20,11.5,few clouds
161,Cidreira,BR,-30.1811,-50.2056,58.95,87,1,8.21,clear sky
162,Yerbogachen,RU,61.2767,108.0108,53.04,98,93,4.7,overcast clouds
163,Cabo San Lucas,MX,22.8909,-109.9124,92.17,62,20,8.05,few clouds
164,Luderitz,NA,-26.6481,15.1594,55.96,86,47,8.99,scattered clouds
165,Ekibastuz,KZ,51.6667,75.3667,64.17,76,35,6.62,scattered clouds
166,Lashio,MM,22.9333,97.75,69.57,99,99,1.3,light rain
167,Mehamn,NO,71.0357,27.8492,51.71,93,75,27.63,light rain
168,Wewak,PG,-3.5534,143.6268,76.55,90,92,5.55,overcast clouds
169,Vysokogornyy,RU,50.1167,139.15,54.34,98,100,1.7,light rain
170,Ust-Kuyga,RU,70.0167,135.6,49.87,82,100,6.44,overcast clouds
171,Takoradi,GH,4.8845,-1.7554,74.64,84,100,8.88,overcast clouds
172,Xingyi,CN,24.1877,102.817,62.8,96,100,4.32,overcast clouds
173,Hithadhoo,MV,-0.6,73.0833,81.55,74,5,6.91,moderate rain
174,Salekhard,RU,66.53,66.6019,55.53,92,100,11.43,overcast clouds
175,Melioratorov,RU,57.2107,65.6077,62.98,100,40,13.42,scattered clouds
176,Barrow,US,71.2906,-156.7887,46.42,93,100,17.27,mist
177,Filadelfia,US,39.9523,-75.1638,91.8,43,75,9.22,broken clouds
178,Nome,US,64.5011,-165.4064,52.16,82,100,6.91,overcast clouds
179,Victoria,HK,22.2855,114.1577,81.32,92,100,5.99,overcast clouds
180,Iquitos,PE,-3.7481,-73.2472,77.04,78,100,4.61,overcast clouds
181,Nurota,UZ,40.5614,65.6886,71.46,33,0,10.98,clear sky
182,Uyovu,TZ,-3.2833,31.5258,76.75,34,100,2.44,overcast clouds
183,Tura,IN,25.5198,90.2201,73.24,93,23,5.21,few clouds
184,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.86,83,13,6.04,few clouds
185,Olafsvik,IS,64.8945,-23.7142,50.13,83,22,10.33,few clouds
186,Banda Aceh,ID,5.5577,95.3222,78.19,83,99,12.06,light rain
187,Bugiri,UG,0.5714,33.7417,64.96,78,99,2.3,overcast clouds
188,Marystown,CA,47.1666,-55.1483,58.73,89,100,7.29,overcast clouds
189,Port Hardy,CA,50.6996,-127.4199,64.58,88,75,4.61,broken clouds
190,Karratha,AU,-20.7377,116.8463,63.18,24,10,18.88,clear sky
191,Haapiti,PF,-17.5667,-149.8667,82.13,74,0,14.94,clear sky
192,Evensk,RU,61.95,159.2333,53.8,96,100,5.5,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,56.1,96,97,12.64,overcast clouds
194,Broome,US,42.2506,-75.833,81.54,48,0,14.97,clear sky
195,Lorengau,PG,-2.0226,147.2712,80.64,81,74,6.33,broken clouds
196,Ramsar,IR,36.9226,50.6426,80.04,83,75,0.0,broken clouds
197,Pacific Grove,US,36.6177,-121.9166,86.38,73,0,12.66,clear sky
198,Leshan,CN,29.5623,103.7639,77.76,91,55,1.43,broken clouds
199,Manyana,BW,-23.4,21.7167,60.12,20,2,10.2,clear sky
200,Buraydah,SA,26.326,43.975,97.25,20,9,10.29,clear sky
201,Zholymbet,KZ,51.7433,71.7122,62.37,83,2,8.52,clear sky
202,Vardo,NO,70.3705,31.1107,53.58,76,40,17.27,scattered clouds
203,Waipawa,NZ,-41.4122,175.5153,43.97,78,62,1.97,broken clouds
204,San Carlos De Bariloche,AR,-41.1456,-71.3082,46.15,61,40,21.85,moderate rain
205,Nikolskoye,RU,59.7035,30.7861,66.09,75,100,6.22,overcast clouds
206,Coquimbo,CL,-29.9533,-71.3436,55.13,82,100,6.91,overcast clouds
207,Rosarito,MX,32.3333,-117.0333,95.41,53,4,13.31,clear sky
208,Altamira,BR,-3.2033,-52.2064,87.89,62,20,4.61,few clouds
209,Cherskiy,RU,68.75,161.3,55.83,65,97,10.45,overcast clouds
210,Salina,US,38.8403,-97.6114,100.02,28,0,9.22,clear sky
211,Iqaluit,CA,63.7506,-68.5145,55.13,58,20,4.61,few clouds
212,Nanakuli,US,21.3906,-158.1547,87.75,54,75,14.97,broken clouds
213,Marawi,PH,7.9986,124.2928,68.85,88,86,2.51,overcast clouds
214,Kang,BW,-23.6752,22.7876,61.11,22,0,8.37,clear sky
215,Vaasa,FI,63.096,21.6158,61.95,88,0,3.44,clear sky
216,Port Elizabeth,ZA,-33.918,25.5701,58.1,98,100,4.61,mist
217,Pevek,RU,69.7008,170.3133,36.41,91,86,5.28,overcast clouds
218,Waingapu,ID,-9.6567,120.2641,75.9,88,24,9.01,few clouds
219,Bonavista,CA,48.6499,-53.1147,58.23,83,94,10.71,overcast clouds
220,Sechura,PE,-5.5569,-80.8222,72.97,59,70,16.26,broken clouds
221,Beterou,BJ,9.1992,2.2586,72.93,95,100,5.17,moderate rain
222,Honiara,SB,-9.4333,159.95,78.73,87,100,2.39,overcast clouds
223,Gouyave,GD,12.1646,-61.7296,86.77,70,20,0.0,few clouds
224,Leningradskiy,RU,69.3833,178.4167,49.98,75,99,2.64,overcast clouds
225,Stara Vyzhivka,UA,51.4376,24.44,60.13,95,70,5.95,broken clouds
226,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,94,40,13.56,scattered clouds
227,Lagoa,PT,39.05,-27.9833,73.49,83,98,13.56,light rain
228,Samana,DO,19.2056,-69.3369,86.22,74,40,6.91,scattered clouds
229,La Tuque,CA,47.4334,-72.7824,64.78,58,71,11.92,broken clouds
230,Noumea,NC,-22.2763,166.4572,70.0,99,56,14.41,broken clouds
231,Xining,CN,36.6167,101.7667,65.75,86,85,1.59,overcast clouds
232,Machilipatnam,IN,16.1667,81.1333,82.92,70,100,15.7,overcast clouds
233,Krasnoselkup,RU,65.7,82.4667,47.82,73,98,4.45,overcast clouds
234,Luebo,CD,-5.35,21.4167,74.5,26,77,2.37,broken clouds
235,Esperance,AU,-33.8667,121.9,52.68,71,87,7.72,overcast clouds
236,Horodyshche,UA,49.2849,31.4451,70.84,66,100,9.78,overcast clouds
237,Digha,IN,21.6833,87.55,77.83,90,99,5.79,overcast clouds
238,Ciro Marina,IT,39.3732,17.126,74.07,65,49,5.46,scattered clouds
239,Wagar,SD,16.1525,36.2032,80.11,72,31,17.72,scattered clouds
240,Tres Arroyos,AR,-38.3739,-60.2798,51.62,69,0,8.79,clear sky
241,Tasiilaq,GL,65.6145,-37.6368,35.76,86,24,1.34,few clouds
242,Birjand,IR,32.8663,59.2211,68.47,24,0,13.8,clear sky
243,Marzuq,YE,14.4,46.4667,79.23,65,100,7.07,overcast clouds
244,Upernavik,GL,72.7868,-56.1549,42.1,81,100,10.6,overcast clouds
245,Castro,BR,-24.7911,-50.0119,47.73,75,0,4.94,clear sky
246,Keetmanshoop,NA,-26.5833,18.1333,61.21,17,44,9.06,scattered clouds
247,Sorong,ID,-0.8833,131.25,76.86,87,79,6.73,broken clouds
248,Sete,FR,43.4018,3.6966,77.95,78,0,4.52,clear sky
249,Sabang,ID,5.8933,95.3214,81.9,74,100,18.86,overcast clouds
250,Griffith,US,41.5284,-87.4237,79.12,61,40,13.8,scattered clouds
251,Goderich,CA,43.7501,-81.7165,70.92,58,0,17.09,clear sky
252,Saint-Georges,GD,12.0564,-61.7485,87.48,70,20,0.0,few clouds
253,Meulaboh,ID,4.1363,96.1285,77.09,85,100,1.86,light rain
254,Te Anau,NZ,-45.4167,167.7167,36.41,79,22,1.41,few clouds
255,Ylivieska,FI,64.0833,24.55,61.32,66,33,7.92,scattered clouds
256,Yellowknife,CA,62.456,-114.3525,64.92,34,75,13.8,broken clouds
257,Seoul,KR,37.5683,126.9778,72.79,100,40,2.3,fog
258,Tautira,PF,-17.7333,-149.15,77.32,78,20,14.92,light rain
259,Basco,PH,20.4487,121.9702,84.27,69,100,3.62,overcast clouds
260,Ust-Omchug,RU,61.15,149.6333,56.1,80,99,3.15,overcast clouds
261,Acarau,BR,-2.8856,-40.12,77.88,82,85,16.69,overcast clouds
262,Palora,EC,-1.7,-77.9333,69.91,80,98,2.66,light rain
263,Rurrenabaque,BO,-14.4413,-67.5278,73.22,69,0,2.39,clear sky
264,Forbes,AU,-33.3833,148.0167,54.91,97,100,10.94,overcast clouds
265,Port Augusta,AU,-32.5,137.7667,47.66,93,35,4.72,scattered clouds
266,Kolobovo,RU,56.702,41.3417,56.64,72,10,2.53,clear sky
267,Ewa Beach,US,21.3156,-158.0072,87.75,58,75,15.01,broken clouds
268,Erenhot,CN,43.6475,111.9767,69.75,48,86,16.37,overcast clouds
269,Namangan,UZ,40.9983,71.6726,73.85,49,6,4.61,clear sky
270,Dingle,PH,10.9995,122.6711,75.87,89,79,0.85,heavy intensity rain
271,Oranjemund,NA,-28.55,16.4333,54.57,93,94,0.54,overcast clouds
272,Rundu,NA,-17.9333,19.7667,59.14,12,3,5.28,clear sky
273,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,75,14.97,broken clouds
274,Maturin,VE,9.75,-63.1767,80.51,81,58,6.98,broken clouds
275,Novosheshminsk,RU,55.0651,51.2338,57.74,74,0,2.06,clear sky
276,Neryungri,RU,56.6709,124.6491,53.2,94,100,4.7,overcast clouds
277,Cockburn Town,TC,21.4612,-71.1419,81.84,76,10,17.92,clear sky
278,Tirano,IT,46.2154,10.1679,72.46,91,99,1.7,overcast clouds
279,Mahibadhoo,MV,3.7833,72.9667,80.4,80,40,7.27,scattered clouds
280,Hofn,IS,64.2539,-15.2082,51.58,85,63,15.64,broken clouds
281,Entre Rios,BR,-11.9419,-38.0844,70.95,91,0,7.07,clear sky
282,Ahipara,NZ,-35.1667,173.1667,53.42,71,31,9.84,scattered clouds
283,Palmer,US,42.1584,-72.3287,86.25,49,75,12.66,broken clouds
284,Rivadavia,AR,-33.1905,-68.4608,58.69,35,0,5.06,clear sky
285,Chara,RU,56.9064,118.2631,56.93,76,83,1.52,broken clouds
286,Santo Antonio Do Amparo,BR,-20.9464,-44.9189,57.54,53,2,5.06,clear sky
287,Boende,CD,-0.2167,20.8667,76.05,63,75,2.86,broken clouds
288,Mitsamiouli,KM,-11.3847,43.2844,74.86,73,1,5.5,clear sky
289,Teacapan,MX,22.55,-105.75,88.12,64,91,10.54,overcast clouds
290,Norman Wells,CA,65.282,-126.8329,69.84,32,20,2.3,few clouds
291,Torbay,CA,47.6666,-52.7314,60.28,92,100,5.75,light intensity drizzle
292,Poum,NC,-20.2333,164.0167,68.79,60,0,7.87,clear sky
